Tipo Agregado;Valor m2
Apartamento;36.25
Apartamento;65.0
Apartamento;29.7
Apartamento;30.43
Apartamento;35.0
Apartamento;35.45
Apartamento;83.33
Apartamento;25.71
Apartamento;38.0
Apartamento;19.23
Apartamento;21.95
Apartamento;52.63
Apartamento;38.0
Apartamento;20.9
Apartamento;41.67
Apartamento;96.59
Casa;16.98
Apartamento;20.0
Apartamento;18.75
Apartamento;21.51
Apartamento;54.14
Apartamento;54.55
Apartamento;18.07
Apartamento;25.45
Apartamento;38.89
Apartamento;27.65
Apartamento;23.33
Apartamento;44.44
Casa;13.33
Apartamento;48.75
Apartamento;10.42
Apartamento;64.86
Apartamento;69.77
Apartamento;42.37
Apartamento;23.52
Apartamento;12.5
Apartamento;24.26
Apartamento;25.71
Apartamento;23.08
Apartamento;77.83
Apartamento;13.37
Apartamento;27.5
Apartamento;22.79
Apartamento;18.75
Casa;23.19
Apartamento;92.86
Apartamento;27.65
Apartamento;29.41
Apartamento;23.68
Apartamento;27.27
Apartamento;18.57
Apartamento;80.0
Apartamento;34.4
Apartamento;65.38
Apartamento;64.94
Apartamento;16.67
Apartamento;14.29
Apartamento;36.0
Apartamento;54.55
Apartamento;25.0
Apartamento;17.74
Apartamento;27.27
Apartamento;25.57
Apartamento;24.2
Apartamento;40.0
Apartamento;27.06
Apartamento;53.57
Apartamento;26.83
Apartamento;46.15
Apartamento;84.62
Apartamento;25.28
Apartamento;21.15
Apartamento;9.33
Apartamento;38.1
Apartamento;28.57
Apartamento;68.42
Apartamento;57.14
Apartamento;66.67
Apartamento;26.67
Apartamento;15.0
Apartamento;46.67
Apartamento;25.58
Apartamento;33.33
Apartamento;16.67
Apartamento;33.72
Apartamento;29.23
Apartamento;19.41
Apartamento;58.82
Casa;26.92
Apartamento;60.0
Apartamento;17.24
Apartamento;31.43
Apartamento;37.5
Apartamento;49.74
Apartamento;70.0
Apartamento;27.5
Apartamento;87.18
Apartamento;43.1
Apartamento;40.0
Apartamento;43.75
Apartamento;37.78
Apartamento;33.33
Apartamento;24.5
Apartamento;50.0
Apartamento;13.04
Apartamento;32.65
Casa;64.6
Apartamento;25.0
Apartamento;57.69
Apartamento;32.35
Apartamento;33.5
Apartamento;42.45
Apartamento;76.69
Apartamento;29.41
Apartamento;68.0
Apartamento;41.67
Apartamento;25.49
Apartamento;31.67
Apartamento;68.75
Apartamento;96.15
Apartamento;79.17
Apartamento;28.78
Apartamento;125.0
Apartamento;21.05
Apartamento;16.12
Apartamento;23.08
Apartamento;42.45
Apartamento;15.0
Apartamento;47.62
Apartamento;32.35
Apartamento;17.78
Apartamento;37.78
Apartamento;56.67
Apartamento;74.07
Apartamento;38.75
Apartamento;35.71
Apartamento;20.0
Apartamento;28.33
Apartamento;81.11
Apartamento;18.33
Apartamento;14.29
Apartamento;20.41
Apartamento;19.61
Apartamento;22.45
Apartamento;23.26
Apartamento;17.27
Apartamento;18.33
Apartamento;33.71
Apartamento;40.18
Apartamento;37.54
Apartamento;47.78
Apartamento;70.62
Casa;41.42
Apartamento;92.14
Apartamento;29.03
Apartamento;50.0
Apartamento;16.67
Apartamento;54.29
Apartamento;28.57
Apartamento;22.22
Apartamento;12.5
Apartamento;70.95
Apartamento;66.23
Apartamento;72.73
Apartamento;22.94
Apartamento;43.33
Apartamento;48.28
Apartamento;28.57
Apartamento;29.82
Apartamento;32.05
Apartamento;55.56
Apartamento;11.84
Apartamento;28.12
Apartamento;31.67
Apartamento;37.72
Apartamento;13.64
Apartamento;24.29
Apartamento;38.46
Apartamento;21.74
Casa;8.5
Apartamento;19.69
Apartamento;23.33
Apartamento;34.88
Apartamento;29.73
Apartamento;14.94
Apartamento;25.0
Apartamento;16.22
Apartamento;15.56
Apartamento;37.5
Apartamento;48.65
Apartamento;22.99
Apartamento;25.88
Apartamento;17.86
Apartamento;11.67
Apartamento;62.5
Casa;15.77
Apartamento;27.18
Apartamento;22.67
Apartamento;20.29
Apartamento;58.91
Apartamento;62.5
Apartamento;30.48
Casa;17.5
Apartamento;17.24
Apartamento;15.73
Apartamento;15.38
Apartamento;31.69
Apartamento;12.0
Apartamento;21.9
Apartamento;32.86
Apartamento;56.25
Apartamento;12.5
Apartamento;25.0
Apartamento;46.67
Apartamento;25.6
Apartamento;16.41
Apartamento;74.07
Apartamento;19.64
Apartamento;44.44
Apartamento;35.71
Apartamento;31.82
Apartamento;36.0
Apartamento;36.04
Apartamento;34.09
Apartamento;60.0
Apartamento;48.33
Apartamento;86.21
Apartamento;23.29
Apartamento;35.42
Apartamento;31.25
Apartamento;35.56
Apartamento;31.43
Apartamento;32.73
Apartamento;7.69
Apartamento;34.33
Apartamento;42.74
Apartamento;62.5
Apartamento;22.15
Apartamento;50.0
Apartamento;42.85
Apartamento;23.08
Apartamento;83.33
Apartamento;25.0
Apartamento;35.42
Apartamento;35.71
Apartamento;48.48
Apartamento;60.23
Apartamento;35.29
Apartamento;19.5
Apartamento;21.13
Apartamento;53.57
Apartamento;34.62
Apartamento;11.36
Apartamento;89.11
Apartamento;37.04
Apartamento;20.22
Apartamento;33.33
Apartamento;100.0
Apartamento;23.14
Apartamento;24.1
Apartamento;43.75
Apartamento;26.36
Apartamento;100.0
Apartamento;42.11
Apartamento;34.55
Apartamento;31.25
Apartamento;25.86
Apartamento;15.52
Apartamento;83.33
Apartamento;34.5
Apartamento;15.29
Apartamento;12.82
Apartamento;44.0
Apartamento;15.38
Apartamento;33.98
Apartamento;39.47
Apartamento;57.14
Apartamento;70.0
Apartamento;32.63
Apartamento;30.0
Apartamento;42.5
Apartamento;33.8
Casa;45.71
Apartamento;18.89
Apartamento;25.0
Apartamento;16.46
Apartamento;18.33
Casa;13.33
Apartamento;31.67
Casa;8.81
Apartamento;31.82
Apartamento;55.45
Apartamento;23.29
Apartamento;25.0
Apartamento;37.5
Apartamento;35.71
Apartamento;31.79
Apartamento;108.89
Apartamento;33.33
Apartamento;42.86
Apartamento;25.71
Apartamento;32.61
Apartamento;15.79
Apartamento;37.5
Apartamento;11.36
Apartamento;49.12
Apartamento;33.77
Apartamento;44.44
Apartamento;23.2
Apartamento;11.85
Apartamento;17.02
Apartamento;26.56
Apartamento;25.0
Apartamento;36.0
Apartamento;17.14
Apartamento;11.43
Apartamento;30.86
